Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,40.209999,41.180000,39.419998,39.910000,39.910000,6387000
2019-01-23,40.320000,41.230000,39.779999,40.439999,40.439999,8159900
2019-01-24,40.410000,43.520000,40.331001,43.290001,43.290001,13236100
2019-01-25,43.500000,44.000000,42.070000,43.689999,43.689999,11226400
2019-01-28,42.259998,43.910000,41.270000,43.860001,43.860001,9188400
2019-01-29,43.619999,45.950001,42.320000,42.849998,42.849998,15778800
2019-01-30,43.509998,44.340000,42.900002,44.130001,44.130001,7986300
2019-01-31,43.799999,46.360001,43.631001,44.950001,44.950001,8078300
2019-02-01,45.020000,45.702999,44.509998,45.209999,45.209999,5668600
2019-02-04,45.240002,50.700001,45.220001,47.430000,47.430000,28407000
2019-02-05,48.500000,49.400002,47.169998,48.160000,48.160000,11813100
2019-02-06,48.029999,48.990002,47.599998,48.380001,48.380001,6243400
2019-02-07,47.660000,47.860001,45.009998,46.860001,46.860001,10505800
2019-02-08,46.250000,48.330002,46.009998,48.270000,48.270000,6471200
2019-02-11,48.270000,48.380001,45.020000,46.980000,46.980000,13511000
2019-02-12,47.349998,49.340000,47.020000,49.209999,49.209999,9823200
2019-02-13,49.299999,50.560001,48.900002,50.200001,50.200001,7000400
2019-02-14,49.490002,52.000000,49.330002,50.970001,50.970001,10047600
2019-02-15,51.720001,52.230000,50.810001,52.080002,52.080002,7162300
2019-02-19,52.669998,55.270000,52.270000,53.220001,53.220001,14485600
2019-02-20,54.290001,54.490002,52.660000,53.639999,53.639999,10739900
2019-02-21,53.799999,53.900002,51.140999,51.480000,51.480000,16524700
